Invoice_number,Customer_id,Service_id,Agent_id,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Zone_area,Data_bought,Data_used,Billing_cycle,Billing_date_year,Billing_date_month,Billing_date_day,Plan_start_date_year,Plan_start_date_month,Plan_start_date_day,Plan_end_date_year,Plan_end_date_month,Plan_end_date_day,No_of_valid_days,Anomaly_type,Leakage
INV100498,CUST004241,SVC3213,AGT078,Pending,New Connection,UPI,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Metro-B,10,5.66,30,2025,6,13,2025,6,12,2025,7,12,31,No anomaly,No
INV104801,CUST007788,SVC7021,AGT090,Paid,Renewal,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Circle-South,200,148.39,30,2025,5,21,2025,5,18,2025,6,17,31,No anomaly,No
INV103106,CUST002402,SVC2708,AGT027,Pending,Recharge,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-East,500,308.39,31,2023,11,10,2023,11,6,2023,12,7,32,No anomaly,No
INV104841,CUST003917,SVC9227,AGT008,Paid,Renewal,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Circle-West,15,6.63,30,2025,1,24,2025,1,21,2025,2,20,31,No anomaly,No
INV105733,CUST006689,SVC8531,AGT020,Pending,Recharge,UPI,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Metro-A,40,30.29,30,2025,3,19,2025,3,16,2025,4,15,31,No anomaly,No
INV105580,CUST005318,SVC5457,AGT057,Paid,Bill Payment,Net Banking,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,Metro-A,750,700.69,28,2024,1,28,2024,1,26,2024,2,23,29,Usage mismatch,Yes
INV104576,CUST006522,SVC2256,AGT090,Paid,New Connection,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Circle-East,200,128.99,31,2024,7,4,2024,7,1,2024,8,1,32,Usage mismatch,Yes
INV105639,CUST001084,SVC4466,AGT091,Paid,Renewal,UPI,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0.0,Circle-North,25,22.37,31,2025,1,28,2025,1,24,2025,2,24,32,Usage mismatch,Yes
INV107914,CUST000945,SVC2447,AGT015,Partial,New Connection,Net Banking,Basic Starter,Prepaid,399,71.82,470.82,470.82,274.3,196.52,Circle-North,5,3.96,30,2024,4,18,2024,4,14,2024,5,14,31,Under payment,Yes
INV102287,CUST000961,SVC9840,AGT071,Pending,New Connection,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Metro-B,500,424.07,30,2025,6,20,2025,6,17,2025,7,17,31,No anomaly,No
INV106635,CUST004084,SVC1044,AGT109,Paid,Recharge,UPI,Family Pack,Postpaid,1499,269.82,1768.82,2613.78,2613.78,0.0,Metro-A,30,1.6,30,2025,6,2,2025,5,29,2025,6,28,31,Missing charges,Yes
INV101143,CUST007941,SVC8723,AGT097,Paid,Renewal,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Metro-A,30,2.84,28,2024,2,8,2024,2,4,2024,3,3,29,Usage mismatch,Yes
INV104969,CUST006748,SVC8638,AGT004,Paid,Plan Change,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0.0,Metro-B,25,18.97,30,2025,2,18,2025,2,15,2025,3,17,31,No anomaly,No
INV105803,CUST001773,SVC4568,AGT010,Pending,Renewal,Auto Debit,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Metro-A,50,35.89,30,2024,12,25,2024,12,24,2025,1,23,31,No anomaly,No
INV100118,CUST005451,SVC7929,AGT014,Pending,Renewal,Wallet,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-North,1000,335.92,31,2024,5,25,2024,5,24,2024,6,24,32,No anomaly,No
INV102436,CUST002776,SVC8779,AGT021,Paid,Plan Change,Cash,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,Circle-South,750,212.19,28,2024,7,13,2024,7,8,2024,8,5,29,Usage mismatch,Yes
INV101715,CUST004568,SVC9107,AGT072,Paid,New Connection,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0.0,Circle-East,5,2.28,28,2024,11,28,2024,11,23,2024,12,21,29,Usage mismatch,Yes
INV102458,CUST003764,SVC5900,AGT082,Paid,Plan Change,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Circle-West,30,23.95,30,2025,4,12,2025,4,11,2025,5,11,31,No anomaly,No
INV107509,CUST007134,SVC9568,AGT093,Partial,New Connection,Auto Debit,Basic Starter,Prepaid,399,71.82,470.82,470.82,306.18,164.64,Circle-North,5,3.61,28,2025,5,30,2025,5,28,2025,6,25,29,Under payment,Yes
INV109316,CUST000779,SVC4280,AGT088,Paid,Bill Payment,Credit Card,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0.0,Circle-East,25,36.19,31,2025,1,20,2025,1,19,2025,2,19,32,Usage mismatch,Yes
INV100470,CUST003377,SVC5256,AGT040,Pending,Renewal,Credit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Metro-A,40,11.7,30,2024,11,16,2024,11,15,2024,12,15,31,No anomaly,No
INV106226,CUST007669,SVC2303,AGT027,Paid,New Connection,Debit Card,Business Basic,Enterprise,4999,899.82,5898.82,7817.11,7817.11,0.0,Metro-A,200,153.25,31,2024,9,2,2024,8,28,2024,9,28,32,Usage mismatch,Yes
INV107765,CUST002719,SVC2153,AGT035,Partial,Renewal,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,1301.53,1057.29,Circle-East,50,6.55,30,2025,4,20,2025,4,16,2025,5,16,31,Under payment,Yes
INV107455,CUST007304,SVC2328,AGT065,Partial,Bill Payment,Debit Card,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1050.05,128.77,Metro-B,25,0.13,28,2025,4,28,2025,4,27,2025,5,25,29,Under payment,Yes
INV104861,CUST005169,SVC7115,AGT087,Paid,Plan Change,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Metro-A,200,158.16,28,2024,2,12,2024,2,8,2024,3,7,29,Usage mismatch,Yes
INV104718,CUST005059,SVC9464,AGT060,Pending,Recharge,Net Banking,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Circle-South,50,22.36,31,2024,1,8,2024,1,4,2024,2,4,32,No anomaly,No
INV102274,CUST001079,SVC1070,AGT022,Pending,Recharge,Cash,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,Circle-North,75,28.66,31,2025,7,28,2025,7,27,2025,8,27,32,No anomaly,No
INV101510,CUST005734,SVC9435,AGT025,Paid,Recharge,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Metro-B,150,91.69,31,2025,6,20,2025,6,17,2025,7,18,32,Usage mismatch,Yes
INV104225,CUST000375,SVC8101,AGT110,Pending,Recharge,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Circle-West,5,2.29,31,2024,6,6,2024,6,2,2024,7,3,32,No anomaly,No
INV109046,CUST000863,SVC1469,AGT003,Paid,Plan Change,Debit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Metro-A,100,172.61,30,2024,6,21,2024,6,18,2024,7,18,31,Extra data usage,Yes
INV108965,CUST002284,SVC3355,AGT037,Paid,Renewal,Net Banking,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,Circle-East,10,18.46,28,2024,11,12,2024,11,10,2024,12,8,29,Extra data usage,Yes
INV108933,CUST002123,SVC8021,AGT146,Paid,New Connection,Wallet,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Metro-A,50,91.21,31,2023,9,21,2023,9,19,2023,10,20,32,Extra data usage,Yes
INV107207,CUST000833,SVC2805,AGT037,Paid,New Connection,Credit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,1310.46,-485.64,Circle-North,15,11.04,31,2023,11,26,2023,11,24,2023,12,25,32,Excess payment,Yes
INV101935,CUST000392,SVC6377,AGT129,Paid,Recharge,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0.0,Circle-East,5,0.69,31,2024,1,22,2024,1,17,2024,2,17,32,Usage mismatch,Yes
INV107646,CUST002604,SVC5016,AGT032,Partial,Renewal,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,3012.19,2886.63,Circle-North,200,75.76,30,2024,8,12,2024,8,10,2024,9,9,31,Under payment,Yes
INV105780,CUST006181,SVC5811,AGT079,Paid,Recharge,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Circle-East,200,83.32,28,2025,2,21,2025,2,20,2025,3,20,29,Usage mismatch,Yes
INV105896,CUST004018,SVC9267,AGT149,Paid,Renewal,Cash,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Circle-West,500,352.68,30,2024,9,11,2024,9,9,2024,10,9,31,No anomaly,No
INV104161,CUST006235,SVC9275,AGT047,Pending,Renewal,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,Circle-North,25,6.72,28,2024,11,29,2024,11,24,2024,12,22,29,No anomaly,No
INV107090,CUST006288,SVC2143,AGT049,Paid,Bill Payment,Auto Debit,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,6895.31,-996.49,Circle-South,200,127.98,28,2025,3,25,2025,3,23,2025,4,20,29,Excess payment,Yes
INV107284,CUST007118,SVC4459,AGT099,Paid,Plan Change,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,18682.53,-3343.71,Circle-East,1000,907.25,28,2023,9,18,2023,9,14,2023,10,12,29,Excess payment,Yes
INV103282,CUST007523,SVC4597,AGT132,Paid,Plan Change,Net Banking,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Circle-North,150,65.03,31,2024,7,12,2024,7,9,2024,8,9,32,Usage mismatch,Yes
INV104520,CUST000764,SVC3859,AGT123,Pending,Recharge,Auto Debit,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Circle-West,15,13.91,28,2024,6,27,2024,6,23,2024,7,21,29,No anomaly,No
INV107569,CUST007443,SVC4569,AGT038,Partial,Recharge,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,3891.65,827.17,Metro-A,150,12.58,30,2024,8,13,2024,8,10,2024,9,9,31,Under payment,Yes
INV104585,CUST007782,SVC3822,AGT150,Paid,Renewal,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-South,1000,573.83,31,2024,12,20,2024,12,16,2025,1,16,32,Usage mismatch,Yes
INV104882,CUST001064,SVC8652,AGT150,Pending,Plan Change,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Circle-West,5,3.0,28,2024,12,20,2024,12,17,2025,1,14,29,No anomaly,No
INV104955,CUST000337,SVC4298,AGT094,Pending,Bill Payment,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Rural-Zone,150,114.65,31,2023,12,16,2023,12,13,2024,1,13,32,No anomaly,No
INV108937,CUST005438,SVC3164,AGT054,Paid,Renewal,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Rural-Zone,150,265.62,30,2024,12,14,2024,12,11,2025,1,10,31,Extra data usage,Yes
INV103761,CUST000479,SVC6693,AGT042,Pending,Recharge,Cash,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Metro-A,15,13.25,30,2025,5,27,2025,5,22,2025,6,21,31,No anomaly,No
INV107460,CUST004504,SVC3937,AGT099,Partial,Renewal,Debit Card,Data Booster,Prepaid,999,179.82,1178.82,1178.82,442.37,736.45,Circle-North,25,14.42,31,2024,9,25,2024,9,22,2024,10,23,32,Usage mismatch,Yes
INV100405,CUST000445,SVC3916,AGT065,Paid,Bill Payment,Credit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Circle-East,50,4.16,28,2025,4,29,2025,4,26,2025,5,24,29,Usage mismatch,Yes
INV106000,CUST002923,SVC7035,AGT147,Paid,Plan Change,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Metro-A,50,43.25,28,2025,3,22,2025,3,19,2025,4,16,29,Duplicate entries,Yes
INV102808,CUST004478,SVC3404,AGT086,Pending,Bill Payment,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-North,150,112.53,30,2024,12,13,2024,12,12,2025,1,11,31,No anomaly,No
INV105532,CUST008000,SVC8904,AGT066,Pending,New Connection,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Circle-South,200,17.08,28,2025,7,22,2025,7,20,2025,8,17,29,No anomaly,No
INV107334,CUST005779,SVC5745,AGT060,Paid,Plan Change,Credit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,14901.06,-5462.24,Metro-A,500,179.08,28,2025,5,17,2025,5,14,2025,6,11,29,Excess payment,Yes
INV105615,CUST005624,SVC2744,AGT131,Pending,Renewal,Wallet,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Rural-Zone,15,4.84,31,2025,8,22,2025,8,17,2025,9,17,32,No anomaly,No
INV109360,CUST005766,SVC7932,AGT150,Paid,New Connection,Wallet,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Metro-A,30,40.73,28,2024,5,15,2024,5,13,2024,6,10,29,Extra data usage,Yes
INV105836,CUST000064,SVC4150,AGT004,Paid,Recharge,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,Circle-West,10,6.96,28,2024,8,1,2024,7,30,2024,8,27,29,Usage mismatch,Yes
INV104369,CUST000115,SVC9261,AGT056,Paid,Bill Payment,Net Banking,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0.0,Metro-B,25,11.18,30,2025,6,10,2025,6,8,2025,7,8,31,No anomaly,No
INV103070,CUST000646,SVC5506,AGT070,Pending,Bill Payment,Wallet,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Metro-A,30,14.71,31,2023,11,29,2023,11,26,2023,12,27,32,No anomaly,No
INV102866,CUST000876,SVC8082,AGT128,Pending,Bill Payment,Auto Debit,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Circle-South,750,31.55,30,2023,10,31,2023,10,30,2023,11,29,31,No anomaly,No
INV102825,CUST003016,SVC9933,AGT060,Paid,Bill Payment,Auto Debit,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0.0,Circle-North,40,7.56,30,2024,6,5,2024,6,3,2024,7,3,31,No anomaly,No
INV104300,CUST002416,SVC5706,AGT059,Pending,Plan Change,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-West,500,334.83,31,2024,1,1,2023,12,28,2024,1,28,32,Usage mismatch,No
INV106040,CUST006268,SVC4761,AGT050,Paid,Renewal,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,6055.81,6055.81,0.0,Circle-North,500,291.7,28,2024,11,20,2024,11,16,2024,12,14,29,Missing charges,Yes
INV106582,CUST002401,SVC8035,AGT126,Paid,New Connection,UPI,Enterprise Pro,Enterprise,7999,1439.82,9438.82,8135.97,8135.97,0.0,Metro-A,500,361.77,30,2025,1,27,2025,1,23,2025,2,22,31,Missing charges,Yes
INV100140,CUST006791,SVC9624,AGT024,Paid,Recharge,Wallet,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0.0,Circle-North,40,25.46,28,2025,5,19,2025,5,16,2025,6,13,29,Usage mismatch,Yes
INV109110,CUST007620,SVC2863,AGT035,Paid,Bill Payment,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,Circle-South,10,19.92,31,2025,2,11,2025,2,7,2025,3,10,32,Extra data usage,Yes
INV105273,CUST006922,SVC9478,AGT013,Pending,Bill Payment,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Metro-B,15,10.35,31,2024,10,3,2024,9,29,2024,10,30,32,Usage mismatch,No
INV104545,CUST004796,SVC1769,AGT119,Pending,Renewal,Debit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0.0,9438.82,Circle-East,500,376.75,30,2024,4,8,2024,4,5,2024,5,5,31,No anomaly,No
INV106652,CUST001170,SVC4795,AGT102,Paid,Bill Payment,Credit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,5938.32,5938.32,0.0,Circle-South,150,39.19,28,2024,12,25,2024,12,24,2025,1,21,29,Usage mismatch,Yes
INV107153,CUST004023,SVC3641,AGT085,Paid,Plan Change,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,14877.52,-5438.7,Circle-East,500,78.43,28,2025,7,21,2025,7,16,2025,8,13,29,Excess payment,Yes
INV107933,CUST001608,SVC8894,AGT145,Partial,New Connection,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,2866.83,1851.99,Circle-South,150,6.37,30,2024,12,27,2024,12,26,2025,1,25,31,Under payment,Yes
INV102397,CUST007769,SVC3647,AGT043,Paid,New Connection,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Circle-West,150,47.98,30,2025,4,28,2025,4,24,2025,5,24,31,No anomaly,No
INV107770,CUST005899,SVC8853,AGT119,Partial,New Connection,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,6736.86,2701.96,Metro-A,500,351.5,30,2025,6,6,2025,6,1,2025,7,1,31,Under payment,Yes
INV102708,CUST002171,SVC9123,AGT096,Pending,Bill Payment,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-West,1000,773.03,31,2025,5,24,2025,5,23,2025,6,23,32,No anomaly,No
INV106000,CUST005223,SVC1907,AGT101,Paid,New Connection,Wallet,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0.0,Rural-Zone,40,23.85,31,2024,11,18,2024,11,13,2024,12,14,32,Duplicate entries,Yes
INV101489,CUST003796,SVC3136,AGT107,Pending,New Connection,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,0.0,706.82,Metro-B,10,8.38,31,2024,5,13,2024,5,9,2024,6,9,32,Usage mismatch,No
INV100840,CUST000883,SVC6359,AGT083,Paid,Bill Payment,Cash,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Metro-B,500,197.45,31,2024,4,22,2024,4,20,2024,5,21,32,Usage mismatch,Yes
INV108742,CUST007384,SVC2070,AGT136,Paid,New Connection,UPI,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Circle-South,500,138.61,28,2025,3,14,2025,3,10,2025,4,7,29,Usage mismatch,Yes
INV102638,CUST007227,SVC2318,AGT068,Paid,Renewal,UPI,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0.0,Circle-North,5,3.63,31,2025,8,2,2025,7,30,2025,8,30,32,Usage mismatch,Yes
INV100292,CUST002090,SVC2685,AGT147,Paid,New Connection,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-West,1000,349.3,30,2024,7,4,2024,6,30,2024,7,30,31,No anomaly,No
INV108425,CUST004233,SVC4972,AGT087,Paid,New Connection,Wallet,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,Circle-East,10,5.88,31,2024,1,2,2023,12,30,2024,1,30,32,Usage mismatch,Yes
INV107732,CUST001498,SVC9062,AGT029,Partial,Renewal,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,244.69,462.13,Circle-South,10,1.01,30,2024,12,31,2024,12,27,2025,1,26,31,Under payment,Yes
INV104045,CUST003525,SVC3497,AGT023,Paid,Plan Change,Wallet,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0.0,Circle-North,5,3.88,31,2025,3,29,2025,3,27,2025,4,27,32,Usage mismatch,Yes
INV109229,CUST007320,SVC3773,AGT003,Paid,Recharge,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Metro-B,200,337.01,28,2024,2,17,2024,2,13,2024,3,12,29,Extra data usage,Yes
INV101080,CUST005435,SVC2021,AGT061,Pending,Recharge,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Rural-Zone,100,87.8,30,2025,8,12,2025,8,7,2025,9,6,31,No anomaly,No
INV106579,CUST007567,SVC7913,AGT100,Paid,Recharge,UPI,Business Basic,Enterprise,4999,899.82,5898.82,4219.36,4219.36,0.0,Metro-A,200,93.11,31,2024,9,17,2024,9,13,2024,10,14,32,Usage mismatch,Yes
INV101318,CUST007954,SVC1867,AGT092,Pending,Bill Payment,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Rural-Zone,750,614.7,30,2023,11,27,2023,11,22,2023,12,22,31,No anomaly,No
INV105531,CUST000287,SVC4126,AGT080,Pending,Recharge,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Rural-Zone,100,3.07,30,2024,11,18,2024,11,13,2024,12,13,31,No anomaly,No
INV105638,CUST000699,SVC5420,AGT060,Paid,Bill Payment,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Circle-South,150,112.48,30,2024,1,4,2024,1,2,2024,2,1,31,No anomaly,No
INV106658,CUST003078,SVC7343,AGT002,Paid,Recharge,Debit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,16562.6,16562.6,0.0,Circle-East,750,461.15,31,2025,6,15,2025,6,12,2025,7,13,32,Usage mismatch,Yes
INV106034,CUST003044,SVC3021,AGT022,Paid,New Connection,Auto Debit,Executive Plan,Postpaid,2499,449.82,2948.82,2076.73,2076.73,0.0,Rural-Zone,75,8.32,31,2025,4,22,2025,4,18,2025,5,19,32,Usage mismatch,Yes
INV106000,CUST004790,SVC7662,AGT040,Paid,Plan Change,UPI,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Circle-North,500,133.33,31,2025,5,2,2025,4,30,2025,5,31,32,Duplicate entries,Yes
